OrderID,OrderDate,StoreID,ProductID,CustomerID,ProductCategory,Quantity,UnitPrice,TotalAmount,PaymentMethod
76,2024-08-13,S001,P191,C1292,Clothing,5,507.09,2535.45,Net Banking
77,2024-02-11,S002,P119,C1236,Home Decor,3,1061.1,3183.3,Credit Card
78,2024-07-31,S004,P142,C1555,Home Decor,7,98.09,686.63,Debit Card
79,2024-07-18,S001,P197,C1589,Home Decor,8,13.81,110.48,UPI
80,2024-06-01,S004,P153,C1551,Beauty,9,1200.8,10807.2,Cash
81,2024-09-06,S002,P134,C1446,Home Decor,1,586.34,586.34,Debit Card
82,2024-03-25,S004,P116,C1637,Sports,1,1360.86,1360.86,Net Banking
83,2024-10-15,S001,P110,C1658,Home Decor,3,1300.94,3902.82,Cash
84,2024-01-26,S003,P148,C1335,Clothing,8,493.63,3949.04,Debit Card
85,2024-05-22,S004,P132,C1854,Electronics,8,33.98,271.84,Net Banking
86,2024-01-27,S003,P128,C1665,Electronics,1,1132.58,1132.58,Cash
87,2024-04-12,S001,P179,C1156,Clothing,3,712.97,2138.91,Credit Card
88,2024-10-15,S002,P159,C1716,Grocery,6,255.84,1535.04,Net Banking
89,2024-02-28,S002,P139,C1110,Sports,1,1393.69,1393.69,Net Banking
90,2024-12-12,S004,P150,C1964,Beauty,4,118.61,474.44,Cash
91,2024-02-22,S003,P187,C1614,Electronics,10,1175.04,11750.4,UPI
92,2024-09-29,S004,P184,C1379,Electronics,9,973.08,8757.72,Credit Card
93,2024-08-03,S004,P113,C1443,Grocery,8,1062.43,8499.44,Debit Card
94,2024-03-31,S003,P178,C1827,Sports,8,699.99,5599.92,Net Banking
95,2024-05-17,S003,P131,C1850,Electronics,5,1323.04,6615.2,Cash
96,2024-08-25,S004,P143,C1029,Home Decor,6,276.85,1661.1,Cash
97,2024-06-30,S003,P143,C1286,Sports,5,835.91,4179.55,Net Banking
98,2024-04-07,S001,P130,C1737,Home Decor,8,834.99,6679.92,Cash
99,2024-12-19,S004,P182,C1728,Home Decor,8,1190.43,9523.44,Credit Card
100,2024-05-30,S002,P151,C1708,Clothing,5,997.62,4988.1,UPI
101,2024-08-30,S003,P154,C1763,Sports,6,530.96,3185.76,Debit Card
102,2024-05-18,S003,P132,C1236,Electronics,4,476.74,1906.96,Net Banking
103,2024-12-19,S002,P124,C1221,Beauty,8,418.37,3346.96,Net Banking
104,2024-09-25,S003,P112,C1852,Clothing,5,345.09,1725.45,Cash
105,2024-06-03,S001,P190,C1546,Clothing,5,73.05,365.25,Credit Card
106,2024-10-10,S003,P189,C1966,Clothing,8,158.37,1266.96,Credit Card
107,2024-10-20,S003,P160,C1490,Home Decor,6,280.62,1683.72,Credit Card
108,2024-05-09,S004,P114,C1841,Electronics,7,740.16,5181.12,Net Banking
109,2024-11-18,S001,P119,C1152,Sports,5,132.35,661.75,Cash
110,2024-03-01,S004,P177,C1610,Sports,4,1164.66,4658.64,Debit Card
111,2024-08-18,S004,P138,C1880,Sports,7,461.54,3230.78,Net Banking
112,2024-01-31,S001,P197,C1212,Beauty,4,400.65,1602.6,Credit Card
113,2024-03-21,S002,P122,C1565,Electronics,3,9.0,27.0,Debit Card
114,2024-12-18,S004,P137,C1033,Clothing,5,1061.9,5309.5,Debit Card
115,2024-02-06,S002,P133,C1806,Beauty,10,993.47,9934.7,Cash
116,2024-08-05,S001,P169,C1230,Beauty,3,1363.08,4089.24,Cash
117,2024-02-06,S001,P121,C1811,Grocery,10,1124.69,11246.9,Net Banking
118,2024-05-27,S004,P115,C1479,Beauty,5,1051.1,5255.5,UPI
119,2024-09-13,S004,P156,C1082,Sports,1,1334.69,1334.69,UPI
120,2024-11-05,S003,P103,C1093,Clothing,10,882.75,8827.5,Credit Card
121,2024-12-10,S003,P173,C1041,Clothing,8,780.85,6246.8,Debit Card
122,2024-05-22,S002,P174,C1446,Beauty,8,1453.74,11629.92,Debit Card
123,2024-06-27,S004,P142,C1328,Beauty,2,1287.31,2574.62,UPI
124,2024-07-29,S004,P136,C1678,Home Decor,9,59.86,538.74,Credit Card
125,2024-06-10,S003,P141,C1118,Home Decor,9,1238.27,11144.43,Credit Card
126,2024-12-02,S004,P152,C1055,Clothing,9,545.86,4912.74,Debit Card
127,2024-11-16,S004,P197,C1052,Clothing,5,826.08,4130.4,UPI
128,2024-08-12,S004,P115,C1029,Beauty,10,1199.97,11999.7,Cash
129,2024-06-08,S001,P170,C1417,Electronics,4,1488.42,5953.68,Credit Card
130,2024-08-24,S001,P182,C1852,Clothing,8,1399.32,11194.56,UPI
131,2024-09-17,S003,P153,C1854,Home Decor,8,369.38,2955.04,Net Banking
132,2024-03-15,S004,P124,C1943,Sports,9,1120.71,10086.39,Cash
133,2024-02-05,S003,P198,C1808,Home Decor,6,1401.7,8410.2,Net Banking
134,2024-05-16,S001,P136,C1743,Grocery,10,871.99,8719.9,Debit Card
135,2024-03-17,S004,P168,C1495,Grocery,6,830.12,4980.72,Net Banking
136,2024-07-12,S004,P141,C1890,Clothing,4,859.84,3439.36,Cash
137,2024-07-29,S001,P140,C1762,Home Decor,7,582.19,4075.33,Cash
138,2024-09-10,S001,P116,C1514,Sports,6,1305.2,7831.2,Debit Card
139,2024-02-21,S004,P101,C1739,Clothing,7,1307.04,9149.28,Cash
140,2024-02-08,S004,P133,C1346,Sports,7,976.51,6835.57,UPI
141,2024-12-11,S004,P140,C1641,Beauty,8,1309.21,10473.68,Credit Card
142,2024-11-12,S001,P130,C1646,Beauty,5,1496.15,7480.75,Credit Card
143,2024-08-10,S001,P197,C1648,Beauty,2,668.3,1336.6,UPI
144,2024-01-15,S001,P141,C1815,Electronics,5,540.9,2704.5,Debit Card
145,2024-03-15,S002,P167,C1421,Sports,3,259.13,777.39,Credit Card
146,2024-11-08,S004,P179,C1699,Clothing,8,1369.68,10957.44,Cash
147,2024-04-28,S004,P181,C1260,Home Decor,5,1001.93,5009.65,Debit Card
148,2024-05-27,S002,P109,C1452,Grocery,10,452.24,4522.4,Debit Card
149,2024-12-19,S003,P158,C1865,Grocery,4,1499.06,5996.24,Debit Card
150,2024-02-24,S002,P148,C1585,Grocery,10,447.33,4473.3,UPI
151,2024-01-12,S004,P135,C1008,Sports,1,1366.37,1366.37,Debit Card
152,2024-05-26,S002,P177,C1821,Grocery,4,956.74,3826.96,Net Banking
153,2024-05-08,S002,P180,C1099,Beauty,1,466.85,466.85,Debit Card
154,2024-01-18,S003,P193,C1134,Electronics,5,493.45,2467.25,Debit Card
155,2024-03-30,S002,P116,C1805,Sports,6,798.62,4791.72,UPI
156,2024-03-25,S003,P161,C1990,Grocery,6,1207.33,7243.98,Debit Card
157,2024-02-08,S002,P196,C1989,Clothing,7,1451.07,10157.49,Net Banking
158,2024-07-06,S001,P150,C1014,Grocery,9,189.77,1707.93,UPI
159,2024-12-10,S003,P174,C1390,Beauty,6,166.98,1001.88,Cash
160,2024-08-29,S001,P179,C1905,Sports,6,1373.31,8239.86,Cash
161,2024-11-27,S001,P181,C1843,Home Decor,5,975.61,4878.05,Credit Card
162,2024-03-12,S001,P104,C1311,Home Decor,2,150.3,300.6,Net Banking
163,2024-03-10,S004,P158,C1379,Beauty,9,631.59,5684.31,Cash
164,2024-07-31,S001,P162,C1630,Home Decor,5,53.91,269.55,UPI
165,2024-04-21,S004,P156,C1973,Clothing,6,153.54,921.24,UPI
166,2024-10-05,S003,P107,C1407,Grocery,4,1452.47,5809.88,Debit Card
167,2024-02-16,S002,P182,C1654,Sports,1,80.61,80.61,UPI
168,2024-05-04,S002,P172,C1210,Electronics,9,314.7,2832.3,Cash
169,2024-04-29,S003,P199,C1151,Sports,1,419.53,419.53,Cash
170,2024-03-07,S003,P122,C1112,Beauty,1,202.05,202.05,UPI
171,2024-05-01,S003,P102,C1178,Grocery,1,194.5,194.5,Debit Card
172,2024-09-26,S001,P195,C1065,Home Decor,8,1168.14,9345.12,Net Banking
173,2024-10-30,S001,P157,C1515,Clothing,10,69.83,698.3,Net Banking
174,2024-06-03,S004,P182,C1987,Electronics,1,1497.89,1497.89,Debit Card
175,2024-08-06,S001,P162,C1729,Home Decor,2,1349.4,2698.8,UPI
176,2024-11-07,S002,P108,C1129,Grocery,10,951.45,9514.5,Net Banking
177,2024-12-30,S003,P148,C1611,Sports,5,683.3,3416.5,Net Banking
178,2024-08-08,S001,P189,C1117,Beauty,9,1082.66,9743.94,Cash
179,2024-08-08,S004,P129,C1423,Grocery,8,601.1,4808.8,Credit Card
180,2024-06-09,S004,P140,C1681,Grocery,6,1430.62,8583.72,Debit Card
181,2024-02-04,S001,P110,C1095,Home Decor,2,1118.16,2236.32,UPI
182,2024-03-07,S001,P175,C1979,Sports,9,497.82,4480.38,Credit Card
183,2024-07-29,S003,P185,C1963,Home Decor,1,1452.76,1452.76,Net Banking
184,2024-06-08,S003,P113,C1591,Sports,4,236.32,945.28,Debit Card
185,2024-04-24,S001,P144,C1865,Sports,6,176.75,1060.5,UPI
186,2024-10-20,S002,P154,C1865,Sports,10,922.29,9222.9,Net Banking
187,2024-01-14,S003,P103,C1184,Grocery,5,1382.7,6913.5,UPI
188,2024-01-04,S002,P118,C1579,Beauty,7,109.03,763.21,Credit Card
189,2024-02-16,S002,P148,C1429,Home Decor,6,240.33,1441.98,UPI
190,2024-06-15,S001,P106,C1159,Clothing,10,79.39,793.9,Credit Card
191,2024-05-19,S004,P184,C1434,Home Decor,10,665.86,6658.6,UPI
192,2024-04-20,S001,P144,C1440,Electronics,5,1018.94,5094.7,Net Banking
193,2024-09-06,S003,P105,C1225,Home Decor,10,86.9,869.0,Cash
194,2024-06-03,S002,P198,C1140,Grocery,5,495.54,2477.7,Credit Card
195,2024-09-11,S004,P122,C1132,Home Decor,9,1056.99,9512.91,Net Banking
196,2024-10-13,S003,P109,C1406,Beauty,1,657.15,657.15,Debit Card
197,2024-02-09,S003,P173,C1439,Sports,7,1065.7,7459.9,Debit Card
198,2024-05-28,S001,P151,C1021,Grocery,3,1202.98,3608.94,Net Banking
199,2024-08-23,S003,P111,C1447,Electronics,4,656.34,2625.36,Debit Card
200,2024-09-25,S001,P150,C1891,Grocery,6,336.25,2017.5,Cash
201,2024-02-09,S001,P167,C1522,Clothing,6,529.89,3179.34,Cash
202,2024-04-30,S001,P118,C1262,Clothing,3,905.59,2716.77,Credit Card
203,2024-03-31,S004,P159,C1772,Sports,10,676.11,6761.1,Net Banking
204,2024-11-25,S003,P180,C1323,Clothing,8,107.09,856.72,Debit Card
205,2024-11-19,S003,P135,C1605,Electronics,6,763.47,4580.82,UPI
206,2024-08-24,S004,P104,C1058,Grocery,5,119.71,598.55,Credit Card
207,2024-11-10,S004,P159,C1594,Sports,1,677.35,677.35,Net Banking
208,2024-11-29,S002,P141,C1619,Home Decor,9,230.54,2074.86,Credit Card
209,2024-08-18,S001,P143,C1731,Electronics,9,970.96,8738.64,Credit Card
210,2024-05-06,S004,P156,C1536,Sports,10,242.33,2423.3,UPI
211,2024-05-24,S004,P152,C1793,Grocery,10,83.29,832.9,UPI
212,2024-02-03,S003,P112,C1571,Beauty,7,429.8,3008.6,Net Banking
213,2024-03-17,S003,P110,C1596,Beauty,3,1375.54,4126.62,UPI
214,2024-12-01,S004,P116,C1609,Beauty,2,467.82,935.64,Debit Card
215,2024-11-25,S003,P116,C1686,Beauty,9,144.71,1302.39,Debit Card
216,2024-09-17,S003,P102,C1371,Grocery,3,1427.0,4281.0,UPI
217,2024-09-05,S002,P128,C1140,Clothing,2,447.21,894.42,Credit Card
218,2024-09-16,S001,P184,C1344,Sports,3,897.88,2693.64,Cash
219,2024-03-24,S002,P188,C1789,Sports,3,1083.17,3249.51,Credit Card
220,2024-07-29,S003,P186,C1736,Clothing,8,917.84,7342.72,Debit Card
221,2024-04-29,S002,P139,C1988,Home Decor,4,554.92,2219.68,Net Banking
222,2024-08-13,S004,P198,C1288,Home Decor,9,793.55,7141.95,Cash
223,2024-04-12,S002,P132,C1053,Beauty,8,1311.8,10494.4,Net Banking
224,2024-02-22,S001,P136,C1085,Clothing,5,676.73,3383.65,Net Banking
225,2024-03-16,S004,P111,C1969,Clothing,8,1327.52,10620.16,Credit Card
226,2024-07-31,S001,P150,C1514,Grocery,4,582.32,2329.28,Credit Card
227,2024-07-10,S002,P103,C1326,Electronics,6,1188.11,7128.66,Cash
228,2024-01-20,S003,P160,C1712,Clothing,8,675.66,5405.28,Credit Card
229,2024-02-10,S001,P132,C1220,Clothing,9,1410.64,12695.76,Net Banking
230,2024-09-27,S004,P114,C1794,Grocery,4,455.22,1820.88,Credit Card
231,2024-05-02,S004,P181,C1812,Sports,8,98.9,791.2,Debit Card
232,2024-11-01,S001,P180,C1527,Sports,4,1079.22,4316.88,UPI
233,2024-08-07,S001,P178,C1361,Clothing,10,627.77,6277.7,Credit Card
234,2024-09-25,S003,P108,C1976,Sports,9,763.45,6871.05,Net Banking
235,2024-10-10,S001,P149,C1894,Home Decor,1,955.33,955.33,UPI
236,2024-05-09,S001,P145,C1807,Electronics,6,365.48,2192.88,Credit Card
237,2024-10-24,S003,P117,C1045,Grocery,9,511.13,4600.17,Cash
238,2024-12-16,S004,P189,C1490,Beauty,3,1218.19,3654.57,Credit Card
239,2024-08-22,S001,P137,C1206,Electronics,4,1329.26,5317.04,UPI
240,2024-06-07,S004,P169,C1484,Grocery,1,1131.17,1131.17,Cash
241,2024-05-26,S003,P199,C1048,Beauty,6,413.46,2480.76,UPI
242,2024-08-11,S004,P195,C1450,Home Decor,6,1460.72,8764.32,Debit Card
243,2024-12-20,S004,P147,C1946,Sports,5,1202.72,6013.6,Debit Card
244,2024-02-10,S004,P177,C1842,Clothing,9,444.18,3997.62,Credit Card
245,2024-02-10,S003,P184,C1302,Grocery,8,905.92,7247.36,Debit Card
246,2024-03-26,S004,P144,C1457,Electronics,6,924.2,5545.2,Debit Card
247,2024-05-20,S001,P109,C1687,Beauty,7,548.15,3837.05,Cash
248,2024-01-16,S002,P177,C1694,Home Decor,1,193.71,193.71,Cash
249,2024-11-26,S003,P146,C1392,Sports,1,909.62,909.62,Debit Card
250,2024-07-08,S003,P156,C1781,Electronics,10,210.85,2108.5,UPI
251,2024-07-22,S003,P183,C1285,Clothing,2,43.74,87.48,Cash
252,2024-09-12,S004,P171,C1120,Grocery,5,1057.54,5287.7,Cash
253,2024-11-09,S003,P188,C1938,Home Decor,4,188.34,753.36,Credit Card
254,2024-08-19,S002,P191,C1455,Electronics,6,1003.42,6020.52,Credit Card
255,2024-10-08,S003,P138,C1871,Clothing,3,1191.58,3574.74,Net Banking
256,2024-04-24,S001,P125,C1811,Clothing,4,1186.61,4746.44,Credit Card
257,2024-07-03,S003,P159,C1822,Sports,3,919.86,2759.58,Credit Card
258,2024-02-03,S003,P150,C1734,Beauty,8,790.92,6327.36,Debit Card
259,2024-10-21,S001,P116,C1995,Grocery,2,677.71,1355.42,Net Banking
260,2024-06-25,S002,P199,C1564,Beauty,10,277.03,2770.3,Cash
261,2024-08-09,S001,P115,C1530,Clothing,5,251.16,1255.8,UPI
262,2024-12-29,S002,P144,C1970,Sports,5,1269.67,6348.35,UPI
263,2024-04-10,S003,P116,C1640,Grocery,10,802.55,8025.5,Net Banking
264,2024-11-24,S002,P175,C1964,Sports,3,260.94,782.82,Net Banking
265,2024-11-05,S003,P172,C1042,Electronics,2,72.97,145.94,Net Banking
266,2024-05-15,S002,P198,C1585,Home Decor,10,960.29,9602.9,Debit Card
267,2024-11-17,S003,P182,C1979,Grocery,8,371.09,2968.72,Debit Card
268,2024-06-01,S004,P109,C1705,Electronics,3,662.21,1986.63,Debit Card
269,2024-08-25,S002,P143,C1621,Clothing,6,1292.92,7757.52,UPI
270,2024-06-25,S004,P116,C1778,Grocery,9,844.67,7602.03,UPI
271,2024-05-03,S004,P115,C1273,Home Decor,4,215.61,862.44,Credit Card
272,2024-05-28,S004,P178,C1428,Clothing,3,1221.15,3663.45,Net Banking
273,2024-06-09,S002,P197,C1163,Home Decor,9,702.89,6326.01,UPI
274,2024-09-11,S001,P111,C1967,Home Decor,9,688.56,6197.04,Cash
275,2024-04-20,S003,P106,C1051,Grocery,8,898.29,7186.32,Debit Card
276,2024-05-26,S001,P113,C1441,Clothing,5,1092.62,5463.1,Debit Card
277,2024-07-06,S001,P151,C1052,Sports,9,296.01,2664.09,Net Banking
278,2024-05-27,S001,P149,C1516,Home Decor,9,423.18,3808.62,Net Banking
279,2024-12-14,S001,P116,C1998,Electronics,7,562.93,3940.51,UPI
280,2024-10-12,S003,P196,C1147,Clothing,10,766.14,7661.4,Net Banking
281,2024-01-21,S001,P104,C1140,Beauty,6,1206.93,7241.58,Net Banking
282,2024-08-21,S002,P177,C1914,Sports,3,495.31,1485.93,Net Banking
283,2024-06-12,S002,P150,C1631,Beauty,5,892.62,4463.1,Net Banking
284,2024-09-17,S004,P190,C1576,Grocery,8,1224.54,9796.32,UPI
285,2024-06-18,S001,P153,C1597,Grocery,1,897.38,897.38,UPI
286,2024-12-01,S002,P192,C1052,Sports,8,259.92,2079.36,Net Banking
287,2024-07-13,S002,P187,C1248,Electronics,10,1422.57,14225.7,Credit Card
288,2024-04-07,S001,P156,C1321,Home Decor,3,622.38,1867.14,Cash
289,2024-07-29,S004,P194,C1744,Electronics,3,780.43,2341.29,Net Banking
290,2024-06-15,S004,P167,C1385,Grocery,3,692.2,2076.6,Net Banking
291,2024-06-24,S003,P186,C1790,Beauty,5,917.06,4585.3,Cash
292,2024-05-06,S003,P171,C1305,Clothing,5,1157.91,5789.55,Cash
293,2024-12-19,S004,P140,C1491,Grocery,9,1400.88,12607.92,UPI
294,2024-05-27,S001,P173,C1692,Sports,7,1344.16,9409.12,Debit Card
295,2024-06-25,S002,P137,C1043,Grocery,2,522.81,1045.62,Debit Card
296,2024-12-01,S003,P195,C1490,Clothing,4,1242.79,4971.16,UPI
297,2024-10-14,S003,P117,C1111,Sports,10,362.73,3627.3,Credit Card
298,2024-12-08,S002,P181,C1238,Electronics,2,622.89,1245.78,Debit Card
299,2024-02-21,S002,P100,C1987,Sports,3,613.33,1839.99,Debit Card
300,2024-09-01,S002,P196,C1987,Grocery,6,431.7,2590.2,Credit Card
301,2024-02-15,S002,P168,C1756,Beauty,1,1370.28,1370.28,Cash
302,2024-08-01,S002,P104,C1856,Home Decor,8,283.54,2268.32,UPI
303,2024-01-20,S001,P138,C1581,Sports,2,1393.04,2786.08,UPI
304,2024-05-25,S004,P182,C1556,Sports,8,1334.44,10675.52,Cash
305,2024-09-15,S004,P134,C1197,Electronics,6,247.93,1487.58,Debit Card
306,2024-11-27,S003,P191,C1190,Electronics,6,1187.2,7123.2,Net Banking
307,2024-12-11,S002,P122,C1625,Beauty,7,1241.35,8689.45,Net Banking
308,2024-06-16,S001,P151,C1685,Electronics,3,1472.62,4417.86,Debit Card
309,2024-06-14,S002,P100,C1267,Home Decor,4,672.87,2691.48,UPI
310,2024-06-17,S003,P174,C1740,Sports,1,396.02,396.02,UPI
311,2024-12-20,S002,P107,C1683,Electronics,8,463.68,3709.44,Debit Card
312,2024-12-17,S003,P188,C1120,Beauty,5,554.48,2772.4,Cash
313,2024-04-22,S002,P161,C1156,Home Decor,10,563.57,5635.7,Net Banking
314,2024-08-29,S002,P197,C1253,Beauty,10,1310.34,13103.4,Credit Card
315,2024-09-26,S004,P167,C1720,Grocery,2,1376.28,2752.56,Credit Card
316,2024-02-01,S002,P173,C1549,Clothing,3,495.54,1486.62,Net Banking
317,2024-08-14,S001,P187,C1210,Beauty,10,735.8,7358.0,Net Banking
318,2024-08-16,S001,P158,C1135,Sports,7,687.91,4815.37,Credit Card
319,2024-10-13,S004,P186,C1826,Grocery,1,596.94,596.94,Credit Card
320,2024-04-21,S001,P105,C1433,Grocery,2,814.04,1628.08,Credit Card
321,2024-02-05,S004,P104,C1293,Home Decor,3,1154.61,3463.83,Debit Card
322,2024-07-10,S004,P157,C1890,Home Decor,7,124.97,874.79,Net Banking
323,2024-03-09,S003,P115,C1182,Sports,7,795.62,5569.34,Cash
324,2024-01-02,S001,P138,C1474,Beauty,9,639.07,5751.63,Debit Card
325,2024-04-27,S002,P158,C1354,Clothing,5,286.78,1433.9,Credit Card
326,2024-01-17,S004,P178,C1784,Electronics,4,313.09,1252.36,Credit Card
327,2024-10-31,S001,P157,C1612,Beauty,1,370.88,370.88,Credit Card
328,2024-07-24,S004,P129,C1552,Clothing,1,214.5,214.5,UPI
329,2024-04-29,S003,P173,C1612,Beauty,6,359.17,2155.02,Cash
330,2024-12-04,S002,P152,C1307,Grocery,1,837.29,837.29,Net Banking
331,2024-03-30,S004,P171,C1507,Electronics,6,1412.67,8476.02,Debit Card
332,2024-09-25,S003,P189,C1426,Home Decor,3,453.33,1359.99,Cash
333,2024-10-02,S004,P130,C1869,Clothing,5,1287.02,6435.1,Cash
334,2024-08-25,S001,P171,C1422,Home Decor,9,797.34,7176.06,Debit Card
335,2024-05-04,S003,P126,C1338,Beauty,2,1383.73,2767.46,UPI
336,2024-02-17,S002,P106,C1274,Home Decor,10,906.37,9063.7,Credit Card
337,2024-04-06,S002,P161,C1213,Grocery,5,1435.74,7178.7,Credit Card
338,2024-04-18,S002,P194,C1120,Beauty,8,1372.09,10976.72,Net Banking
339,2024-12-26,S002,P150,C1937,Clothing,9,485.81,4372.29,UPI
340,2024-07-13,S004,P168,C1664,Grocery,5,396.03,1980.15,Net Banking
341,2024-09-11,S004,P112,C1822,Beauty,8,1143.64,9149.12,UPI
342,2024-04-14,S003,P140,C1423,Electronics,10,1296.81,12968.1,Cash
343,2024-01-09,S003,P170,C1957,Sports,10,1081.42,10814.2,UPI
